PWS ID,PWS Name,Primacy Agency,Population Served,Violation Type,Compliance Period Begin Date,Compliance Status
010307001,Aquinnah Wampanoag,EPA Region 1,84,Follow-up Or Routine LCR Tap M/R,01-JAN-2015,Returned to Compliance
010307001,Aquinnah Wampanoag,EPA Region 1,84,Follow-up Or Routine LCR Tap M/R,01-JAN-2014,Returned to Compliance
010307001,Aquinnah Wampanoag,EPA Region 1,84,Follow-up Or Routine LCR Tap M/R,01-JAN-2011,Returned to Compliance
010502002,Narragansett Indian Admin Building,EPA Region 1,30,Follow-up Or Routine LCR Tap M/R,01-JUN-2015,Returned to Compliance
010502003,Narragansett Four Winds Community Center,EPA Region 1,30,Follow-up Or Routine LCR Tap M/R,01-JAN-2016,Open
020000005,ST. REGIS MOHAWK TRIBE,EPA Region 2,"5,500",Follow-up Or Routine LCR Tap M/R,01-JAN-2015,Open
020000008,CATTARAUGUS CWS,EPA Region 2,"2,635",Follow-up Or Routine LCR Tap M/R,01-JAN-2013,Open
020000012,ONONDAGA NATION WS,EPA Region 2,"1,000",Follow-up Or Routine LCR Tap M/R,01-JAN-2013,Open
020000012,ONONDAGA NATION WS,EPA Region 2,"1,000",Follow-up Or Routine LCR Tap M/R,01-JAN-2013,Open
020000016,SULLIVAN HOLLOW,EPA Region 2,64,Follow-up Or Routine LCR Tap M/R,01-JAN-2013,Returned to Compliance
020000016,SULLIVAN HOLLOW,EPA Region 2,64,Follow-up Or Routine LCR Tap M/R,01-JAN-2013,Open
020011102,SHELTON TRAILER PARK,EPA Region 2,42,Follow-up Or Routine LCR Tap M/R,01-JAN-2013,Returned to Compliance
020011102,SHELTON TRAILER PARK,EPA Region 2,42,Follow-up Or Routine LCR Tap M/R,01-JAN-2013,Open
041210003,MICCOSUKEE SERVICE PLAZA,EPA Region 4,"1,040",Follow-up Or Routine LCR Tap M/R,01-JAN-2011,Returned to Compliance
042800005,CHOCTAW - BOK HOMA,EPA Region 4,200,Follow-up Or Routine LCR Tap M/R,01-JUL-2011,Returned to Compliance
043740043,CHEROKEE - SNOWBIRD/CORNSILK COMMUNITY,EPA Region 4,160,Follow-up Or Routine LCR Tap M/R,01-OCT-2011,Returned to Compliance
050593405,MANISTIQUE TRIBAL HEALTH CENTER,EPA Region 5,125,Follow-up Or Routine LCR Tap M/R,01-OCT-2011,Returned to Compliance
050594204,BUG O-NAY-GE-SHIG SCHOOL,EPA Region 5,260,Follow-up Or Routine LCR Tap M/R,01-JUL-2013,Returned to Compliance
050594210,NORTHERN LIGHTS CASINO,EPA Region 5,"1,650",Follow-up Or Routine LCR Tap M/R,01-JUL-2013,Returned to Compliance
050594210,NORTHERN LIGHTS CASINO,EPA Region 5,"1,650",Follow-up Or Routine LCR Tap M/R,01-JUL-2012,Returned to Compliance
050594210,NORTHERN LIGHTS CASINO,EPA Region 5,"1,650",Follow-up Or Routine LCR Tap M/R,31-DEC-2011,Returned to Compliance
